department,patient_count,avg_time,delay,late,emergency,actual_time,wait_time
Neurology,23,35,9,5,3,35,879
Pediatrics,8,15,14,0,0,14,143
Gynecology,24,20,4,4,2,27,531
Orthopedics,14,25,2,4,0,24,377
Orthopedics,21,25,17,1,3,22,597
Gynecology,14,20,10,1,1,23,311
Orthopedics,24,25,8,2,3,25,666
Orthopedics,19,25,15,2,3,29,548
General Medicine,19,10,5,3,1,15,221
General Medicine,16,10,15,3,0,11,186
Gynecology,9,20,5,2,0,21,198
Ophthalmology,14,15,3,0,3,22,267
Ophthalmology,9,15,14,1,1,19,171
Dermatology,4,20,7,3,1,17,123
Ophthalmology,13,15,18,5,1,23,261
Ophthalmology,23,15,4,0,2,17,377
General Medicine,12,10,19,0,3,12,185
Dentistry,20,20,6,1,2,23,443
Ophthalmology,19,15,2,3,3,11,342
Orthopedics,22,25,13,4,2,23,610
Pediatrics,1,15,16,1,3,14,78
Pediatrics,7,15,18,1,3,19,173
General Medicine,17,10,5,2,2,6,214
General Medicine,2,10,10,0,0,18,36
ENT,11,15,1,2,0,15,171
Pediatrics,2,15,18,3,0,23,63
Neurology,24,35,2,3,2,43,890
Orthopedics,17,25,15,5,2,22,492
Cardiology,19,30,5,3,3,32,641
ENT,20,15,13,5,0,16,338
Pediatrics,20,15,4,5,3,12,380
Dentistry,21,20,0,4,1,26,459
Neurology,5,35,14,4,1,40,227
Dentistry,5,20,13,4,2,27,162
Neurology,14,35,0,5,2,33,548
Ophthalmology,24,15,6,2,3,18,420
Pediatrics,21,15,18,0,1,20,355
Gynecology,4,20,6,1,3,26,134
General Medicine,13,10,3,4,3,17,195
Ophthalmology,16,15,2,4,0,15,259
Pediatrics,16,15,17,5,2,14,319
Pediatrics,17,15,10,5,0,20,294
Gynecology,21,20,9,0,3,19,471
Cardiology,12,30,0,0,0,34,356
Dermatology,22,20,14,4,0,21,471
Cardiology,13,30,17,5,2,34,461
Cardiology,2,30,2,0,3,29,115
ENT,2,15,14,3,0,18,57
Dentistry,15,20,14,4,2,28,372
Dentistry,9,20,14,3,3,19,249
ENT,7,15,7,3,1,19,151
General Medicine,4,10,17,1,0,9,61
General Medicine,11,10,2,3,0,9,127
ENT,25,15,0,0,2,19,405
General Medicine,19,10,9,2,0,12,217
Cardiology,25,30,20,5,0,31,803
Dermatology,10,20,14,1,3,16,266
General Medicine,8,10,14,1,0,18,97
Cardiology,5,30,2,0,1,26,170
Orthopedics,22,25,10,5,1,25,597
General Medicine,9,10,18,1,1,8,133
Ophthalmology,5,15,16,0,2,15,127
Dermatology,13,20,14,5,3,22,348
Orthopedics,16,25,7,1,2,30,450
Dermatology,24,20,11,1,2,28,530
Dermatology,23,20,17,5,1,17,526
Orthopedics,24,25,14,5,1,22,664
Cardiology,2,30,16,5,2,30,135
ENT,6,15,3,0,0,13,93
Cardiology,9,30,12,4,1,28,327
Pediatrics,4,15,19,2,1,15,112
Gynecology,20,20,16,4,1,16,450
Neurology,16,35,7,5,2,39,617
Gynecology,21,20,5,0,1,27,435
Dentistry,24,20,11,5,0,25,511
ENT,7,15,10,2,1,11,139
Dentistry,8,20,17,5,3,21,256
Dentistry,12,20,11,4,2,22,310
Gynecology,8,20,18,5,0,16,207
Neurology,8,35,0,4,2,32,328
Dentistry,14,20,11,4,2,21,337
Orthopedics,21,25,2,5,1,26,576
Dermatology,18,20,17,1,1,19,403
General Medicine,17,10,16,5,3,11,254
General Medicine,18,10,17,2,1,9,230
Cardiology,1,30,18,5,2,38,110
Gynecology,9,20,3,1,0,22,195
Dentistry,9,20,4,5,0,26,215
Dentistry,2,20,8,5,0,22,83
General Medicine,23,10,12,1,1,11,265
Ophthalmology,8,15,1,0,0,15,129
Gynecology,7,20,3,0,3,28,196
ENT,12,15,19,2,2,20,238
Neurology,1,35,11,5,3,43,112
ENT,22,15,12,2,3,11,398
ENT,17,15,7,3,0,23,281
Dermatology,16,20,14,1,3,17,388
Dentistry,12,20,16,2,2,24,298
Orthopedics,20,25,19,3,0,27,539
ENT,25,15,5,2,3,15,444
Orthopedics,18,25,1,1,3,21,498
Dermatology,19,20,1,2,1,18,402
Dermatology,20,20,4,0,2,17,438
Dentistry,25,20,12,5,3,25,591
Dermatology,21,20,6,4,2,16,483
Gynecology,23,20,15,3,3,21,536
General Medicine,23,10,10,0,1,8,258
Dermatology,20,20,18,4,2,19,476
Orthopedics,23,25,2,1,2,27,611
Dentistry,3,20,10,1,0,27,85
Orthopedics,16,25,7,4,0,23,430
Dermatology,5,20,2,3,1,16,132
Dentistry,21,20,10,1,1,20,452
Dentistry,6,20,1,0,0,28,124
